time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,requested_current_A,interval_duration_s,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature,numerical_failure,failure_reason,failure_penalty
1440.0,1,0.6235042052436488,0.1405958713802477,3.983243856062943,299.9901199422499,3.5,3.5,90.0,3.971159809631599,3.983243856062943,299.9901199422499,-0.75,-6.029793569012385,-1.30596165188674,-0.0,False,,0.0
1440.0,2,0.8796082529806573,0.1405958713802477,4.2090331701110735,300.3377314678722,3.5,3.5,90.0,4.200317330287315,4.2090331701110735,300.3377314678722,-0.75,-6.029793569012385,-1.30596165188674,-0.0,False,,0.0
1440.0,3,0.9509564128402787,0.1405958713802477,4.256264912483264,299.0600116370712,2.5,2.5,90.0,4.237381893004984,4.256264912483264,299.0600116370712,-0.75,-6.029793569012385,-1.30596165188674,-0.0,False,,0.0
1530.0,1,0.6440908364864271,0.13155754894520416,4.007675468805596,300.09471198493947,3.5,3.5,90.0,3.9951244656597074,4.007675468805596,300.09471198493947,-0.75,-5.5778774472602075,-0.0,-0.0,False,,0.0
1530.0,2,0.882719796037875,0.13155754894520416,4.114443395083718,300.30368764004743,0.5,0.5,90.0,4.11765850730083,4.1272452940314235,300.3377314678722,-0.75,-5.5778774472602075,-0.0,-0.0,False,,0.0
1530.0,3,0.9509564128402812,0.13155754894520416,4.1371579513404395,299.05286825042646,0.0,0.0,90.0,4.146652081276144,4.169383222391751,299.0600116370712,-0.75,-5.5778774472602075,-0.0,-0.0,False,,0.0
1620.0,1,0.6646774677292049,0.1254453890663548,4.035073533854753,300.1981910745369,3.5,3.5,90.0,4.02130581448236,4.035073533854753,300.1981910745369,-0.75,-5.272269453317739,-0.501680106823148,-0.0,False,,0.0
1620.0,2,0.9045005974384054,0.1254453890663548,4.225084005341158,300.3948397090398,3.5,3.5,90.0,4.210662725172704,4.225084005341158,300.3948397090398,-0.75,-5.272269453317739,-0.501680106823148,-0.0,False,,0.0
1620.0,3,0.9509564128402846,0.1254453890663548,4.131954023716272,299.045780953987,0.0,0.0,90.0,4.13410381656761,4.1371579513404395,299.05286825042646,-0.75,-5.272269453317739,-0.501680106823148,-0.0,False,,0.0
1710.0,1,0.6793822043311887,0.11912653423708469,4.021608187383096,300.2402036491792,2.5,2.5,90.0,4.0156255332484685,4.021608187383096,300.2402036491792,-0.75,-4.956326711854234,-0.0,-0.0,False,,0.0
1710.0,2,0.9076121404956232,0.11912653423708469,4.122724102361058,300.35992106808834,0.5,0.5,90.0,4.127421887263157,4.141755968558407,300.3948397090398,-0.75,-4.956326711854234,-0.0,-0.0,False,,0.0
1710.0,3,0.9509564128402875,0.11912653423708469,4.129883035296542,299.0387494073947,0.0,0.0,90.0,4.130787142665062,4.131954023716272,299.045780953987,-0.75,-4.956326711854234,-0.0,-0.0,False,,0.0
1800.0,1,0.6999688355739663,0.11357580326368,4.075473659851619,300.3407132808988,3.5,3.5,90.0,4.061330159612702,4.075473659851619,300.3407132808988,-0.75,-4.678790163184,-1.083056212536544,-0.0,False,,0.0
1800.0,2,0.9293929418961533,0.11357580326368,4.254152810626827,300.45308177827644,3.5,3.5,90.0,4.231041983869301,4.254152810626827,300.45308177827644,-0.75,-4.678790163184,-1.083056212536544,-0.0,False,,0.0
1800.0,3,0.9509564128402894,0.11357580326368,4.128902064812538,299.0317732035929,0.0,0.0,90.0,4.1293372841200595,4.129883035296542,299.0387494073947,-0.75,-4.678790163184,-1.083056212536544,-0.0,False,,0.0
1890.0,1,0.726437361457538,0.10176931291591845,4.1353281265696165,300.5182412530256,4.5,4.5,90.0,4.117328453078826,4.1353281265696165,300.5182412530256,-0.75,-4.088465645795923,-0.0,-0.0,False,,0.0
1890.0,2,0.9325044849533709,0.10176931291591845,4.140836634651844,300.417294499436,0.5,0.5,90.0,4.14797238370101,4.168990577856915,300.45308177827644,-0.75,-4.088465645795923,-0.0,-0.0,False,,0.0
