current_A_assumption,cell,fit_kind,seed,objective,success,selected,solver_failures,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,full_V_RMSE,full_T_RMSE,full_coverage,prefix_fit_V_RMSE,prefix_fit_T_RMSE,prefix_fit_coverage,suffix_forecast_V_RMSE,suffix_forecast_T_RMSE,suffix_forecast_coverage,prediction_solver_failure
4.0,3,full_fit,47,2.598199957068556,True,False,0,6.0,4.0,3.98,4.18,4.5,4.0,5.0,1.2502441967297528,0.02534684918399975,0.4119443593338967,1.0,0.022641397987096964,0.3323657977226662,1.0,0.0340742651699683,0.6374097304118079,1.0,
4.0,3,prefix_fit,7,0.8452382800202494,True,False,0,6.0,4.0,3.98,4.18,4.5,4.0,22.156639913188446,0.865654020271612,0.02507370468363665,0.6215507331800801,1.0,0.022354488289533108,0.16185174880197936,1.0,0.03382068764720775,1.3508615643408923,1.0,
4.0,3,prefix_fit,17,0.779152112607205,True,True,0,6.0,5.0,3.98,4.18,4.5,4.096293497150698,22.040323411385273,0.8668193633545515,0.026840027111907434,0.6249020556249963,1.0,0.020977660878461906,0.16170663363197413,1.0,0.0428965881047226,1.3586307305360166,1.0,
4.0,3,prefix_fit,27,0.8487341875113152,True,False,0,6.0,4.801957671794344,3.98,4.18,4.5,4.0,22.112984696532163,0.8678203500135889,0.026333818962662386,0.6219062706869335,1.0,0.022423671790679535,0.16186495972407763,1.0,0.038144446704424004,1.3516722558239869,1.0,
4.0,3,prefix_fit,37,0.8419265323031302,True,False,0,6.0,4.0,3.98,4.18,4.544344368246181,4.0,21.958528678909342,0.8661574645848779,0.0335155900997244,0.6237097287444985,1.0,0.022286137910651937,0.1618676864942694,1.0,0.0602185927218779,1.3558148357928128,1.0,
4.0,3,prefix_fit,47,0.8439830592003115,True,False,0,6.0,4.313182541760285,3.98,4.18,4.541254978543071,4.0,21.939531784251816,0.8665614411993823,0.03363423057868614,0.6229771698336687,1.0,0.02232603044513459,0.1618965483219157,1.0,0.06048932918526017,1.354117903713903,1.0,
5.0,1,full_fit,7,2.3156941039104764,True,False,0,6.0,4.571383961776707,3.98,4.18,6.195307018428818,5.425004525735671,7.697153209705473,1.2410054600043328,0.020149508796425707,0.41012932825986714,1.0,0.02167911459948102,0.30026299894537406,1.0,0.01226372694217956,0.6928251246562657,1.0,
5.0,1,full_fit,17,2.3507463443766943,True,False,0,5.488386117204862,4.550510951426903,3.98,4.18,6.194986083282028,5.465281816379039,7.392147474364544,1.2440513251715444,0.020973682688933522,0.40991773303835066,1.0,0.022575899400904376,0.3083091673551171,1.0,0.012694192575542815,0.6779217100458865,1.0,
5.0,1,full_fit,27,2.3100432597123493,True,True,0,5.944848776965584,4.277216619348511,3.98,4.18,6.197805586981084,5.453561579810551,7.107123731704847,1.2576934800643227,0.02018309262880813,0.4093990146452344,1.0,0.021564521677061094,0.30890187094969135,1.0,0.013302690161704345,0.6752729468685673,1.0,
5.0,1,full_fit,37,2.353803957891518,True,False,0,5.396478083305777,4.628136548985245,3.98,4.18,6.193092918759206,5.503265338781807,7.228165002169865,1.2554216687471296,0.021095807247288708,0.4096953682482652,1.0,0.02249279177121989,0.3054804582901665,1.0,0.014204530382099541,0.6823515953282215,1.0,
