phase,algorithm,variant,soc_set,seed,episodes,target_update,beta,max_temperature_k,sample_time_s,time_penalty,balance_scale,voltage_scale,temperature_scale,n_cells,initialization_mode,cell_parameter_file,review_items,implementation_status,required_for_resubmission,replicate_unit,run_order,run_id,command
temperature_sensitivity,qmix,tmax_312,B,17,1200,50,0.02,312.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,40,SUP-040,
ablation,qmix,qmix_no_time,A,29,1200,50,0.02,309.0,90,0.0,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,41,SUP-041,
confirmatory,qmix,full,A,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,42,SUP-042,
ablation,qmix,qmix_no_safety,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,43,SUP-043,
provenance,qmix,legacy_effective_every_step,A,17,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,44,SUP-044,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 17 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_a_seed_17"""
ablation,qmix,qmix_no_safety,B,71,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,45,SUP-045,
confirmatory,dql,full,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,46,SUP-046,
provenance,qmix,legacy_effective_every_step,B,43,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,47,SUP-047,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set B --seed 43 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_b_seed_43"""
temperature_sensitivity,qmix,tmax_306,B,71,1200,50,0.02,306.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,P4,pending_identified_parameter_sets,yes,training_seed,48,SUP-048,
provenance,qmix,legacy_effective_every_step,A,43,800,1,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,49,SUP-049,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 43 --episodes 800 --target-update 1 --variant legacy_effective_every_step --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_effective_every_step/set_a_seed_43"""
confirmatory,qmix,full,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,50,SUP-050,
confirmatory,qmix,full,A,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,51,SUP-051,
confirmatory,per_cell_cccv,full,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,52,SUP-052,
confirmatory,qmix,full,A,17,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,53,SUP-053,
ablation,qmix,qmix_no_safety,A,71,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,54,SUP-054,
confirmatory,vdn,full,A,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,55,SUP-055,
provenance,qmix,legacy_declared,A,29,800,200,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,legacy_mixed,,M2;M3,ready,yes,training_seed,56,SUP-056,".\.venv\Scripts\python.exe main.py --algorithm qmix --soc-set A --seed 29 --episodes 800 --target-update 200 --variant legacy_declared --initialization-mode legacy_mixed --beta 0.02 --max-temperature 309.0 --sample-time 90 --time-penalty -0.75 --balance-penalty-scale -50.0 --voltage-penalty-scale -20.0 --temperature-penalty-scale -2.0 --output-dir ""results/provenance/legacy_declared/set_a_seed_29"""
confirmatory,proportional,full,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,environment_block,57,SUP-057,
confirmatory,dql,full,A,29,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,58,SUP-058,
ablation,qmix,qmix_no_safety,B,7,1200,50,0.02,309.0,90,-0.75,-50.0,0.0,0.0,3,soc_consistent,experiments/cell_parameters.identified.json,M8,pending_identified_parameter_sets,yes,training_seed,59,SUP-059,
confirmatory,dql,full,B,71,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,60,SUP-060,
confirmatory,qmix,full,B,43,1200,50,0.02,309.0,90,-0.75,-50.0,-20.0,-2.0,3,soc_consistent,experiments/cell_parameters.identified.json,M6;D2;D3;D4,pending_identified_parameter_sets,yes,training_seed,61,SUP-061,
