time_s,cell,soc,soc_std,voltage_V,temperature_K,current_A,interval_mean_voltage_V,interval_max_voltage_V,interval_max_temperature_K,reward_time,reward_balance,reward_voltage,reward_temperature
1620.0,1,0.47055936236999457,0.07738419399654473,3.8530798930696024,300.3681822115493,3.5,3.843188954721296,3.8530798930696024,300.3681822115493,-0.75,-2.8692096998272363,-0.0,-0.0
1620.0,2,0.5858313390950975,0.07738419399654473,3.969055791782223,300.0071953006378,3.5,3.961323345319599,3.969055791782223,300.0071953006378,-0.75,-2.8692096998272363,-0.0,-0.0
1620.0,3,0.6585091612003641,0.07738419399654473,4.04986000734344,299.54305139708674,3.5,4.032040721516325,4.04986000734344,299.54305139708674,-0.75,-2.8692096998272363,-0.0,-0.0
1710.0,1,0.4911459936127714,0.07547926917959093,3.8727557549782574,300.4656880395359,3.5,3.862955827776898,3.8727557549782574,300.4656880395359,-0.75,-2.773963458979546,-0.0,-0.0
1710.0,2,0.6013890543811903,0.07547926917959093,3.949809269501727,300.03873628582465,2.5,3.9467814561600445,3.949809269501727,300.03873628582465,-0.75,-2.773963458979546,-0.0,-0.0
1710.0,3,0.6748050321640181,0.07547926917959093,4.038651092109195,299.588158860465,2.5,4.03112098607473,4.038651092109195,299.588158860465,-0.75,-2.773963458979546,-0.0,-0.0
1800.0,1,0.5117326248555489,0.07394131522912561,3.891624292723604,300.56152164725887,3.5,3.8822810751621417,3.891624292723604,300.56152164725887,-0.75,-2.6970657614562805,-0.0,-0.0
1800.0,2,0.6231698557817192,0.07394131522912561,3.9987147085216392,300.12334018531783,3.5,3.986253928389534,3.9987147085216392,300.12334018531783,-0.75,-2.6970657614562805,-0.0,-0.0
1800.0,3,0.6911009031276717,0.07394131522912561,4.056441062437699,299.63226571650256,2.5,4.0476132767500905,4.056441062437699,299.63226571650256,-0.75,-2.6970657614562805,-0.0,-0.0
1890.0,1,0.5323192560983266,0.07484724345049,3.909247846687335,300.6557926299295,3.5,3.900544818189176,3.909247846687335,300.6557926299295,-0.75,-2.7423621725245,-0.0,-0.0
1890.0,2,0.6449506571822489,0.07484724345049,4.0246088880480215,300.20815447724,3.5,4.01126074701355,4.0246088880480215,300.20815447724,-0.75,-2.7423621725245,-0.0,-0.0
1890.0,3,0.7139151224767865,0.07484724345049,4.113560392307047,299.72412019604985,3.5,4.098366052561398,4.113560392307047,299.72412019604985,-0.75,-2.7423621725245,-0.0,-0.0
1980.0,1,0.5529058873411055,0.07388209954950477,3.925639336988203,300.74860803617986,3.5,3.9175331499413137,3.925639336988203,300.74860803617986,-0.75,-2.6941049774752384,-0.0,-0.0
1980.0,2,0.672954544697215,0.07388209954950477,4.092890012358556,300.3609698643633,4.5,4.070718685030752,4.092890012358556,300.3609698643633,-0.75,-2.6941049774752384,-0.0,-0.0
1980.0,3,0.7302109934404399,0.07388209954950477,4.0972718253872955,299.76851926367107,2.5,4.0922792510319885,4.0972718253872955,299.76851926367107,-0.75,-2.6941049774752384,-0.0,-0.0
2070.0,1,0.5734925185838834,0.07322429975526015,3.941232153864347,300.8400731593787,3.5,3.9334732187958856,3.941232153864347,300.8400731593787,-0.75,-2.6612149877630076,-0.0,-0.0
2070.0,2,0.7009584322121822,0.07322429975526015,4.127271223128668,300.51401159056314,4.5,4.110721872014175,4.127271223128668,300.51401159056314,-0.75,-2.6612149877630076,-0.0,-0.0
2070.0,3,0.7465068644040944,0.07322429975526015,4.111468625759063,299.8120360042004,2.5,4.104279582487914,4.111468625759063,299.8120360042004,-0.75,-2.6612149877630076,-0.0,-0.0
2160.0,1,0.5881972551858675,0.07763838863167978,3.9219299700773984,300.87157140076056,2.5,3.919242411487333,3.9219299700773984,300.87157140076056,-0.75,-2.881919431583989,-0.0,-0.0
